"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q4","SOT-23-3","48.133mm","79.375mm","48.133mm","79.375mm","49.308mm","78.425mm","T","90.00","BC817-40"
"R7","0805_R","57.4068mm","98.6804mm","56.261mm","98.679mm","56.2638mm","98.6804mm","T","360.00","4.7KΩ/1%"
"R8","0805_R","57.4068mm","82.9324mm","56.261mm","82.931mm","56.2638mm","82.9324mm","T","360.00","4.7KΩ/1%"
"R9","0603_R","53.3392mm","95.2437mm","53.34mm","95.25mm","53.34mm","95.9358mm","T","270.00","4.7KΩ/1%"
"R10","0603_R","53.3392mm","79.1146mm","53.34mm","79.121mm","53.34mm","79.8068mm","T","270.00","4.7KΩ/1%"
"R11","0603_R","51.8152mm","95.2437mm","51.816mm","95.25mm","51.816mm","95.9358mm","T","270.00","100KΩ/1%"
"R12","0603_R","51.8152mm","79.1146mm","51.816mm","79.121mm","51.816mm","79.8068mm","T","270.00","100KΩ/1%"
"J19","XHB-2A","79.683mm","21.717mm","78.613mm","21.717mm","78.413mm","21.717mm","T","360.00","SIP-2-BLUE"
"Q5","SOT-23-3","50.927mm","46.228mm","50.927mm","46.228mm","51.877mm","47.403mm","T","180.00","AO3401"
"Q6","SOT-23-3","50.927mm","55.626mm","50.927mm","55.626mm","51.877mm","56.801mm","T","180.00","BC817-40"
"Q7","SOT-23-3","35.56mm","33.655mm","35.56mm","33.655mm","36.51mm","34.83mm","T","180.00","AO3401"
"Q8","SOT-23-3","26.416mm","34.163mm","26.416mm","34.163mm","25.241mm","35.113mm","T","270.00","BC817-40"
"R13","0603_R","51.0603mm","49.9102mm","51.054mm","49.911mm","50.3682mm","49.911mm","T","360.00","2.2KΩ/1%"
"R14","0603_R","50.9207mm","52.5788mm","50.927mm","52.578mm","51.6128mm","52.578mm","T","180.00","4.7KΩ/1%"
"R15","0603_R","51.9422mm","59.4297mm","51.943mm","59.436mm","51.943mm","60.1218mm","T","270.00","4.7KΩ/1%"
"R16","0603_R","50.0372mm","59.4297mm","50.038mm","59.436mm","50.038mm","60.1218mm","T","270.00","100KΩ/1%"
"R17","0603_R","31.8762mm","33.9027mm","31.877mm","33.909mm","31.877mm","34.5948mm","T","270.00","2.2KΩ/1%"
"R18","0603_R","29.2108mm","33.9153mm","29.21mm","33.909mm","29.21mm","33.2232mm","T","90.00","4.7KΩ/1%"
"R19","0603_R","22.7394mm","35.0512mm","22.733mm","35.052mm","22.0472mm","35.052mm","T","360.00","4.7KΩ/1%"
"R20","0603_R","22.7394mm","33.5272mm","22.733mm","33.528mm","22.0472mm","33.528mm","T","360.00","100KΩ/1%"

